firm_name,sec_number,aum,employees,city,state,website,contact_name,contact_email,phone,source
"GEORGIA WEALTH PARTNERS, LLC",801-128055,"$137,219,826",4,GRIFFIN,GA,https://georgiawealthpartners.com,Chief Compliance Officer,cletson@georgiawealthpartners.com,678-510-5280,FIRM_WEBSITE
"GEORGIA WEALTH PARTNERS, LLC",801-128055,"$137,219,826",4,GRIFFIN,GA,https://georgiawealthpartners.com,Executive Officer,cletson@georgiawealthpartners.com,678-510-5280,FIRM_WEBSITE
"HEALTHPOINTCAPITAL MANAGEMENT, LLC",801-126773,"$242,796,278",7,SAN DIEGO,CA,http://www.healthpointcapital.com,Chief Compliance Officer,N/A,212-935-7780,SEC_IAPD
"HEALTHPOINTCAPITAL MANAGEMENT, LLC",801-126773,"$242,796,278",7,SAN DIEGO,CA,http://www.healthpointcapital.com,Executive Officer,N/A,212-935-7780,SEC_IAPD
CORNERSTONE ADVISORS LLC,801-130418,"$276,933,985",5,FAYETTEVILLE,AR,N/A,Chief Compliance Officer,N/A,501-943-7132,SEC_IAPD
CORNERSTONE ADVISORS LLC,801-130418,"$276,933,985",5,FAYETTEVILLE,AR,N/A,Executive Officer,N/A,501-943-7132,SEC_IAPD
HUTNER CAPITAL MANAGEMENT INC.,801-79521,"$270,701,590",4,MANCHESTER,VT,HTTPS://HUTNER.CAPITAL,Chief Compliance Officer,email@address.com,802-366-8157,FIRM_WEBSITE
HUTNER CAPITAL MANAGEMENT INC.,801-79521,"$270,701,590",4,MANCHESTER,VT,HTTPS://HUTNER.CAPITAL,Executive Officer,email@address.com,802-366-8157,FIRM_WEBSITE
MPI WEALTH MANAGEMENT LLC,801-117155,"$236,380,931",4,HINSDALE,IL,https://www.mpiwealthmanagement.com,Chief Compliance Officer,info@mpi-invest.com,630-325-6900,FIRM_WEBSITE
MPI WEALTH MANAGEMENT LLC,801-117155,"$236,380,931",4,HINSDALE,IL,https://www.mpiwealthmanagement.com,Executive Officer,info@mpi-invest.com,630-325-6900,FIRM_WEBSITE
"JCP INVESTMENT MANAGEMENT, LLC",801-115037,"$252,640,784",6,HOUSTON,TX,HTTPS://WWW.JCPINV.COM,Chief Compliance Officer,N/A,(713) 333-5540,SEC_IAPD
"JCP INVESTMENT MANAGEMENT, LLC",801-115037,"$252,640,784",6,HOUSTON,TX,HTTPS://WWW.JCPINV.COM,Executive Officer,N/A,(713) 333-5540,SEC_IAPD
"LIGHT FINANCIAL SERVICES, INC.",801-123619,"$145,111,574",2,FARGO,ND,https://www.lightfinancialservices.com/,Chief Compliance Officer,N/A,701.356.5106,SEC_IAPD
"LIGHT FINANCIAL SERVICES, INC.",801-123619,"$145,111,574",2,FARGO,ND,https://www.lightfinancialservices.com/,Executive Officer,N/A,701.356.5106,SEC_IAPD
"BROOKLINE WEALTH, LLC",801-130965,"$113,074,270",6,AUSTIN,TX,https://brooklinewealth.com/,Chief Compliance Officer,hello@brooklinewealth.com,512-222-9169,FIRM_WEBSITE
"BROOKLINE WEALTH, LLC",801-130965,"$113,074,270",6,AUSTIN,TX,https://brooklinewealth.com/,Executive Officer,hello@brooklinewealth.com,512-222-9169,FIRM_WEBSITE
